"","ppnt_id","sample"
"1",1,7.23728745158676
"2",1,7.23728745158676
"3",1,7.23728745158676
"4",1,7.23728745158676
"5",1,7.23728745158676
"6",1,7.23728745158676
"7",1,7.23728745158676
"8",1,7.23728745158676
"9",1,7.23728745158676
"10",1,7.23728745158676
"11",1,7.23728745158676
"12",1,7.23728745158676
"13",1,7.23728745158676
"14",1,7.23728745158676
"15",1,7.23728745158676
"16",1,7.23728745158676
"17",1,7.23728745158676
"18",1,7.23728745158676
"19",1,7.23728745158676
"20",1,7.23728745158676
"21",2,8.0421749517125
"22",2,8.0421749517125
"23",2,8.0421749517125
"24",2,8.0421749517125
"25",2,8.0421749517125
"26",2,8.0421749517125
"27",2,8.0421749517125
"28",2,8.0421749517125
"29",2,8.0421749517125
"30",2,8.0421749517125
"31",2,8.0421749517125
"32",2,8.0421749517125
"33",2,8.0421749517125
"34",2,8.0421749517125
"35",2,8.0421749517125
"36",2,8.0421749517125
"37",2,8.0421749517125
"38",2,8.0421749517125
"39",2,8.0421749517125
"40",2,8.0421749517125
