"X","probA","probB","probC","payoffA","payoffB","payoffC","exA","exB","exC","propA_ppl","propB_ppl","propC_ppl","propA_rpr","propB_rpr","propC_rpr"
1,0.83,0.498,0.55,12,20,22,9.96,9.96,12.1,0.196,0.048,0.756,0.689924,0.310076,0
2,0.83,0.498,0.98,12,20,10.16326531,9.96,9.96,9.9600000038,0.438,0.17,0.392,0.386105,0.300695,0.3132
3,0.83,0.498,0.35,12,20,28.57142857,9.96,9.96,9.9999999995,0.36,0.45,0.19,0.302102,0.384338,0.31356
4,0.83,0.498,0.83,12,20,12,9.96,9.96,9.96,0.396,0.182,0.422,0.304724924662934,0.380271093377942,0.315003981959124
5,0.83,0.498,0.5,12,20,20,9.96,9.96,10,0.466,0.274,0.26,0.38955585480516,0.301247830774348,0.309196314420491
6,0.83,0.664,0.83,12,15,10,9.96,9.96,8.3,0.692,0.192,0.116,0.599332113476681,0.398673030730183,0.00199485579313526
7,0.83,0.664,0.62,12,15,15,9.96,9.96,9.3,0.334,0.602,0.064,0.318031954095862,0.643793931381794,0.0381741145223436
8,0.83,0.664,0.78,12,15,12,9.96,9.96,9.36,0.696,0.198,0.106,0.637055,0.317327,0.045618
9,0.83,0.664,0.67,12,15,13,9.96,9.96,8.71,0.624,0.326,0.05,0.436357145090319,0.562243013652486,0.00139984125719461
10,0.83,0.664,0.78,12,15,10,9.96,9.96,7.8,0.84,0.134,0.026,0.7001,0.29939,0.00051
11,0.83,0.664,0.62,12,15,13,9.96,9.96,8.06,0.494,0.49,0.016,0.393876969384847,0.605489027445137,0.00063400317001585
12,0.83,0.664,0.62,12,15,10,9.96,9.96,6.2,0.624,0.37,0.006,0.483682,0.516318,0
13,0.83,0.664,0.62,12,15,10,9.96,9.96,6.2,0.586,0.404,0.01,0.48383,0.51617,0
14,0.83,0.664,0.88,12,15,14,9.96,9.96,12.32,0.034,0.038,0.928,0.387174,0.612826,0
15,0.83,0.664,0.72,12,15,17,9.96,9.96,12.24,0.17,0.046,0.784,0.688871,0.311129,0
16,0.83,0.664,0.98,12,15,10.16326531,9.96,9.96,9.9600000038,0.484,0.154,0.362,0.386493,0.301144,0.312363
17,0.83,0.664,0.52,12,15,19.32692308,9.96,9.96,10.0500000016,0.346,0.478,0.176,0.296155,0.379644,0.324201
18,0.83,0.664,0.83,12,15,12,9.96,9.96,9.96,0.404,0.204,0.392,0.305094021540663,0.379605904922937,0.3153000735364
19,0.83,0.664,0.67,12,15,15,9.96,9.96,10.05,0.446,0.292,0.262,0.378647266022317,0.303091977693267,0.318260756284416
